"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C4,C6,C7,C10,C24,C26,C28,C31,C32","10n","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","10",""
"C2,C16,C17,C18,C19,C20,C21,C22,C23,C25,C27,C33,C34,C39,C40,C41","10µ","~","-- mixed values --","16",""
"C3,C35,C36","1µ","~","-- mixed values --","3",""
"C5,C11","2.2µ","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C8,C14","100µ","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2",""
"C9,C15","407µ","~","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","2",""
"C37","470µ","~","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"D5","D","~","Diode_THT:D_DO-201_P12.70mm_Horizontal","1",""
"D6,D7,D8,D9","LED","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","4",""
"D10","D_Schottky","~","Diode_SMD:D_SMA","1",""
"F1","MCCQ-121","","mccq-121:MCCQ121","1",""
"J1,J2,J3","LM2596_modul_in","~","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","3",""
"J4","BMP280_Module","~","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical","1",""
"J5","BMS_input","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","1",""
"J6,J11,J12","LM2596_modul_out","~","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","3",""
"J7","On/Off_toggle","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J8","SPI_Connector","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"J9","SSD1306","~","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","1",""
"J10","I2C_Extender","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
